Кампания / Канал / Группа кампаний,"Количество посетителей (все, с учетом отказников)","Количество визитов (все, с учетом отказников)",Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Узнай Москву/РСЯ/Киностудия Горького (Брендовые),2118,2443,675,0.2762996316004912,1.0576923076923077,00:02:09,1374,0.6487252124645893,1902,0.8980169971671388
Узнай Москву/РСЯ/Киностудия Горького (Кинофильмы),3931,4364,867,0.19867094408799266,1.2201887331998855,00:02:39,3097,0.7878402442126685,3823,0.9725260747901298
Узнай Москву/РСЯ/Киностудия Горького (Общие ключи),1665,2026,532,0.26258637709772953,1.0187416331994645,00:01:49,1038,0.6234234234234234,1437,0.863063063063063
Узнай Москву/РСЯ/Киностудия Горького (Советские фильмы),2376,2707,880,0.3250831178426302,1.0755336617405582,00:02:03,1485,0.625,2177,0.9162457912457912
