Кампания / Канал / Группа кампаний,"Количество посетителей (все, с учетом отказников)","Количество визитов (все, с учетом отказников)",Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Кампания 1,1638,1783,143,0.08020190689848569,2.3103658536585368,00:04:55,300,0.18315018315018314,334,0.2039072039072039
Кампания 2,5193,6113,1727,0.2825126778995583,1.2685818513451892,00:01:54,612,0.11785095320623917,1005,0.19352975158867705
