Кампания / Канал / Группа кампаний,"Количество посетителей (все, с учетом отказников)","Количество визитов (все, с учетом отказников)",Количество отказов,Доля отказов (относительно визитов),"Глубина просмотра (без учета отказников, среднее значение относительно визитов)","Время на сайте (без учета отказников, среднее значение относительно визитов)",Количество новых посетителей (без учета отказников),Доля новых посетителей (за отчетный период) без учета отказников,Количество новых посетителей (с учетом отказников),Доля новых посетителей (за отчетный период) (с учетом отказников)
Узнай Москву/Поиск/Театры во время ВОВ,251,264,142,0.5378787878787878,1.0573770491803278,00:01:36,104,0.41434262948207173,223,0.8884462151394422
Узнай Москву/РСЯ/Театры во время ВОВ,6573,10724,2889,0.26939574785527787,1.0020421186981494,00:01:50,4539,0.6905522592423551,6468,0.9840255591054313
